game_id,person_id,team_id,starter,seconds,points,fg2_made,fg2_attempted,fg3_made,fg3_attempted,ft_attempted,ft_made,offensive_reb,defensive_reb,assists,steals,blocks,turnovers,defensive_fouls,offensive_fouls
22401194,1630539,1610612742,false,1575.9999999999998,11,5,6,0,1,2,1,2,6,2,1,0,2,0,0
22401194,1628997,1610612742,false,1288,6,3,5,0,3,0,0,1,2,0,0,0,0,2,0
22401194,203939,1610612742,false,948,6,1,2,1,2,2,1,0,0,0,1,0,0,1,0
22401194,1642530,1610612763,false,1682,12,0,1,3,7,3,3,0,5,5,1,0,1,1,0
22401194,1628963,1610612763,true,1843.2,25,11,16,0,2,4,3,5,7,3,1,0,1,2,0
22401194,1631246,1610612763,true,1459,12,2,5,2,3,2,2,5,6,5,0,1,0,1,0
22401194,1630205,1610612763,true,2158,31,12,17,2,8,2,1,1,5,3,0,0,3,2,1
22401194,1630643,1610612763,false,1670.7999999999997,22,7,8,2,4,2,2,3,3,2,2,6,3,3,0
22401194,203957,1610612742,true,854,4,2,3,0,2,0,0,0,2,3,0,0,0,1,0
22401194,1629655,1610612742,true,1121,20,8,10,0,0,5,4,5,2,1,1,2,2,1,0
22401194,1631108,1610612742,true,2355.0000000000005,14,6,10,0,3,2,2,0,5,2,1,0,4,2,0
22401194,1630230,1610612742,true,1650,11,4,9,1,2,0,0,1,2,2,0,0,3,0,0
22401194,1630314,1610612742,true,417,0,0,2,0,0,2,0,1,3,0,0,1,1,0,1
22401194,1641713,1610612763,true,2053.9999999999995,5,1,9,1,3,0,0,1,3,3,0,0,2,2,0
22401194,1642285,1610612763,true,2233.0000000000005,23,3,7,5,12,2,2,2,0,7,3,0,0,3,0
22401193,203999,1610612743,true,1841.2000000000003,18,4,5,3,5,2,1,1,6,7,2,1,1,3,0
22401193,203932,1610612743,true,1578.0000000000002,18,6,10,1,3,3,3,4,3,3,2,1,3,0,0
22401193,1641708,1610612745,true,1568,15,6,8,0,1,4,3,2,4,6,1,1,1,3,0
22401193,1630578,1610612745,true,1409,14,7,14,0,0,0,0,2,3,4,0,1,0,1,0
22401193,1629008,1610612743,true,1764,19,5,6,3,6,0,0,0,7,0,0,2,1,2,0
22401193,201599,1610612743,false,651.8,4,2,3,0,0,0,0,2,3,0,0,0,0,0,0
22401193,1628988,1610612745,false,563,6,0,0,2,4,0,0,0,0,2,0,0,0,2,0
22401193,1631212,1610612743,false,1028,9,1,3,2,3,2,1,1,3,0,1,1,0,0,0
22401193,1629618,1610612743,false,1167.9999999999998,0,0,2,0,2,0,0,0,1,1,0,1,1,2,0
22401193,1631128,1610612743,true,1878.1000000000001,11,4,6,0,1,3,3,1,6,6,0,0,1,2,0
22401193,201145,1610612745,false,690.9999999999999,5,1,1,1,5,0,0,1,2,0,0,0,0,1,0
22401193,1628415,1610612745,true,1327,8,1,3,2,6,0,0,0,1,1,0,0,0,2,0
22401193,1627832,1610612745,true,1629,15,2,5,3,8,3,2,0,0,3,1,0,3,2,0
22401193,1642263,1610612745,false,1033,0,0,2,0,2,0,0,0,1,7,1,1,1,4,0
22401193,1630224,1610612745,true,1234,2,0,6,0,1,2,2,0,2,2,0,0,1,1,0
22401193,1627750,1610612743,true,1482,16,5,12,1,4,3,3,2,5,3,0,0,1,0,0
22401193,1641816,1610612743,false,269,2,0,1,0,0,2,2,0,0,1,0,0,0,2,0
22401193,1631223,1610612745,false,247.99999999999997,4,2,2,0,0,2,0,0,1,0,0,0,0,0,0
22401193,1631466,1610612745,false,720,7,2,3,1,2,0,0,3,1,2,0,0,0,3,0
22401193,201566,1610612743,false,1358.8999999999999,17,5,6,0,3,8,7,0,0,6,0,0,1,1,0
22401193,203500,1610612745,false,1033,4,2,4,0,0,0,0,2,4,1,0,0,1,2,0
22401193,1630192,1610612743,false,382.00000000000006,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0
22401193,1631106,1610612745,false,1076,8,4,9,0,2,1,0,4,3,3,1,1,1,1,0
22401193,1641725,1610612743,false,382.00000000000006,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0
